GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,team_poss,team_minutes,team_FGM,USG%,player_poss,PTS_per_poss,TS%,TO%,AST%,AST_pct_bbr
22200478,1610612764,1630557,F,37.33,4,8,0.5,2,5,0.4,2,2,1.0,0,2.0,2,2,1,0,0,1,12,-3,96.48,239.98,46,0.25,8.88,1.35,0.68,0.0,4.35,6.29
22200478,1610612764,1628398,F,33.82,8,18,0.444,2,5,0.4,3,4,0.75,1,4.0,5,2,1,0,2,1,21,-21,96.48,239.98,46,15.31,21.76,0.97,0.53,0.09,4.35,8.19
22200478,1610612764,1629655,C,19.7,6,9,0.667,0,0,0.0,1,1,1.0,1,1.0,2,0,0,1,1,3,13,-11,96.48,239.98,46,13.12,10.44,1.25,0.69,0.1,0.0,0.0
22200478,1610612764,203078,G,31.08,13,20,0.65,0,3,0.0,4,4,1.0,1,4.0,5,5,0,0,2,2,30,4,96.48,239.98,46,16.73,23.76,1.26,0.69,0.08,10.87,29.78
22200478,1610612764,1628420,G,30.27,2,5,0.4,1,3,0.333,0,1,0.0,0,4.0,4,4,0,0,2,1,5,3,96.48,239.98,46,16.62,7.44,0.67,0.46,0.27,8.7,14.81
22200478,1610612764,201959,0,25.03,3,3,1.0,0,0,0.0,0,0,0.0,0,4.0,4,1,1,0,0,3,6,-3,96.48,239.98,46,0.12,3.0,2.0,1.0,0.0,2.17,4.76
22200478,1610612764,1629060,0,23.58,3,4,0.75,0,0,0.0,1,1,1.0,0,7.0,7,1,1,0,1,1,7,-4,96.48,239.98,46,10.74,5.44,1.29,0.79,0.18,2.17,5.1
22200478,1610612764,1630692,0,15.75,5,9,0.556,1,2,0.5,0,0,0.0,0,5.0,5,2,0,1,2,2,11,-9,96.48,239.98,46,32.18,11.0,1.0,0.61,0.18,4.35,19.81
22200478,1610612764,203115,0,13.88,1,5,0.2,1,3,0.333,1,2,0.5,0,2.0,2,2,0,0,0,1,4,-20,96.48,239.98,46,0.44,5.88,0.68,0.34,0.0,4.35,16.26
22200478,1610612764,1629653,0,3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,0,0,0,0,8,96.48,239.98,46,0.0,0.0,,,,2.17,32.81
22200478,1610612764,1631098,0,3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,8,96.48,239.98,46,0.0,0.0,,,,0.0,0.0
22200478,1610612764,1630264,0,3.18,1,1,1.0,0,0,0.0,1,2,0.5,0,1.0,1,0,0,0,0,0,3,8,96.48,239.98,46,0.61,1.88,1.6,0.8,0.0,0.0,0.0
22200478,1610612762,1628374,F,29.25,7,14,0.5,4,9,0.444,3,3,1.0,0,5.0,5,1,0,0,1,4,21,22,98.24,240.02,42,8.89,16.32,1.29,0.69,0.06,2.38,5.38
22200478,1610612762,1629020,F,28.37,1,1,1.0,1,1,1.0,0,0,0.0,0,4.0,4,1,0,0,1,1,3,-7,98.24,240.02,42,8.65,2.0,1.5,1.5,0.5,2.38,4.2
22200478,1610612762,1631117,C,32.38,5,7,0.714,0,0,0.0,2,2,1.0,5,9.0,14,1,0,2,1,2,12,16,98.24,240.02,42,7.79,8.879999999999999,1.35,0.76,0.11,2.38,4.29
22200478,1610612762,203903,G,29.78,7,17,0.412,4,7,0.571,5,5,1.0,0,7.0,7,3,1,0,2,0,23,6,98.24,240.02,42,17.06,21.2,1.08,0.6,0.09,7.14,15.74
22200478,1610612762,201144,G,27.23,3,7,0.429,0,2,0.0,2,2,1.0,0,0.0,0,6,0,0,1,1,8,-8,98.24,240.02,42,9.27,8.879999999999999,0.9,0.51,0.11,14.29,28.81
22200478,1610612762,1629012,0,17.32,6,7,0.857,2,2,1.0,4,4,1.0,1,0.0,1,0,0,0,1,4,18,12,98.24,240.02,42,14.62,9.76,1.84,1.03,0.1,0.0,0.0
22200478,1610612762,200752,0,14.4,1,5,0.2,0,1,0.0,0,0,0.0,0,2.0,2,0,0,0,0,1,2,9,98.24,240.02,42,0.35,5.0,0.4,0.2,0.0,0.0,0.0
22200478,1610612762,1627736,0,25.82,9,17,0.529,3,7,0.429,4,5,0.8,0,2.0,2,0,4,0,1,1,25,6,98.24,240.02,42,10.22,20.2,1.24,0.65,0.05,0.0,0.0
22200478,1610612762,1629638,0,21.62,3,6,0.5,2,2,1.0,0,0,0.0,1,2.0,3,4,0,0,2,0,8,24,98.24,240.02,42,22.88,8.0,1.0,0.67,0.25,9.52,25.13
22200478,1610612762,1630195,0,2.77,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-8,98.24,240.02,42,88.57,2.0,0.0,0.0,0.5,0.0,0.0
22200478,1610612762,1630534,0,2.77,0,1,0.0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,-8,98.24,240.02,42,0.37,1.0,0.0,0.0,0.0,0.0,0.0
22200478,1610612762,1631323,0,2.77,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,-8,98.24,240.02,42,0.73,2.0,0.0,0.0,0.0,0.0,0.0
22200478,1610612762,1628962,0,2.77,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,1,0,0,0,0,1,0,-8,98.24,240.02,42,0.0,0.0,,,,0.0,0.0
22200478,1610612762,1629659,0,2.77,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-8,98.24,240.02,42,0.37,1.0,0.0,0.0,0.0,0.0,0.0
22200478,1610612762,1630695,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.24,240.02,42,,0.0,,,,0.0,
22200466,1610612749,1630699,F,20.2,4,7,0.571,3,5,0.6,0,0,0.0,1,0.0,1,0,0,0,1,4,11,0,98.68,240.0,39,12.39,8.0,1.38,0.79,0.12,0.0,0.0
22200466,1610612749,203507,F,39.6,17,27,0.63,0,1,0.0,11,16,0.688,4,10.0,14,4,1,2,5,4,45,3,98.68,240.0,39,31.58,39.04,1.15,0.66,0.13,10.26,26.36
22200466,1610612749,201572,C,27.7,5,7,0.714,2,3,0.667,2,3,0.667,2,4.0,6,2,2,1,5,3,14,-13,98.68,240.0,39,44.21,13.32,1.05,0.84,0.38,5.13,11.42
