DATE,GAME_ID,TEAM,TEAM_LVL,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2022-10-19,22200011,San Antonio,중위팀,1626196,0,17.166666666666668,0,3,0.0,0,3,0.0,0,0,0.0,0,2.0,2,1,0,0,2,1,0,-18
2022-10-19,22200011,San Antonio,중위팀,1628380,0,12.216666666666667,0,3,0.0,0,2,0.0,1,2,0.5,0,0.0,0,1,1,4,2,3,1,-20
2022-10-19,22200011,San Antonio,중위팀,203926,0,16.416666666666668,5,10,0.5,2,5,0.4,0,0,0.0,2,0.0,2,0,0,0,0,2,12,-18
2022-10-19,22200011,San Antonio,중위팀,1630563,0,25.85,3,11,0.273,0,3,0.0,4,4,1.0,0,3.0,3,5,0,1,3,2,10,-18
2022-10-19,22200011,San Antonio,중위팀,1630200,G,24.366666666666667,5,8,0.625,1,2,0.5,3,3,1.0,2,1.0,3,2,1,2,0,3,14,-11
2022-10-19,22200011,San Antonio,중위팀,1630170,G,28.583333333333332,3,15,0.2,0,8,0.0,5,8,0.625,1,1.0,2,4,1,0,2,1,11,-22
2022-10-19,22200011,San Antonio,중위팀,1627751,C,26.983333333333334,7,13,0.538,0,0,0.0,0,0,0.0,4,5.0,9,2,0,0,3,2,14,-10
2022-10-19,22200011,San Antonio,중위팀,1631110,F,27.433333333333334,2,8,0.25,0,2,0.0,0,1,0.0,2,5.0,7,2,2,0,0,2,4,-2
2022-10-19,22200011,San Antonio,중위팀,1628966,0,4.933333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,2,-14
2022-10-19,22200011,Charlotte,중위팀,1630177,0,4.333333333333333,0,0,0.0,0,0,0.0,2,2,1.0,0,1.0,1,1,0,0,1,0,2,-7
2022-10-19,22200011,Charlotte,중위팀,1629023,F,29.85,7,12,0.583,3,4,0.75,0,0,0.0,2,5.0,7,4,0,3,1,2,17,29
2022-10-19,22200011,San Antonio,중위팀,1629640,F,29.65,8,17,0.471,3,7,0.429,1,2,0.5,2,9.0,11,4,2,0,2,2,20,-11
2022-10-19,22200011,Charlotte,중위팀,203486,C,22.233333333333334,5,9,0.556,0,0,0.0,2,2,1.0,4,3.0,7,4,0,1,1,2,12,6
2022-10-19,22200011,Charlotte,중위팀,1626162,G,22.633333333333333,5,10,0.5,1,3,0.333,2,3,0.667,0,4.0,4,2,3,0,0,4,13,36
2022-10-19,22200011,Charlotte,중위팀,1629667,0,23.333333333333332,2,5,0.4,1,2,0.5,0,0,0.0,0,5.0,5,2,1,1,0,0,5,13
2022-10-19,22200011,Charlotte,중위팀,1628372,0,21.183333333333334,5,7,0.714,2,2,1.0,0,0,0.0,0,2.0,2,4,2,2,1,2,12,28
2022-10-19,22200011,Charlotte,중위팀,1628998,0,0.9333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-6
